method,retro_status,SMILES,JNK3,GSK3b,QED,SA,SA_norm,TPSA,TPSA_norm,LogP,LogP_norm,six_dim_mean,six_dim_min,six_dim_std,display_score,pass_6d_threshold,alert_count,alert_labels
GB-GA crossover,unsolved,CC1=C(N2CCC(Nc3nccc(-c4cnc5ccccn45)n3)CC2)SCC=N1,0.75,0.5600000023841858,0.7140963077545166,3.2803642749786377,0.7466261916690402,70.71,0.9382634555087765,3.6742000000000026,0.9039238650426611,0.76881830372653,0.5600000023841858,0.12544013869334558,0.9242742905724511,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CC1=[SH]C(c2ccnc(Nc3ccc(F)cc3)n2)=C(C)N=N1,0.5,0.8500000238418579,0.6610711812973022,3.278960704803467,0.746782143910726,62.53,0.9964502597219579,4.128900000000002,0.7533665525882847,0.7512783602266881,0.5,0.1533829375159744,0.8859400664750907,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,COC1=CC(c2ccnc(Nc3ccccc3)n2)=CC1N1CCOCC1,0.5,0.7799999713897705,0.8947877287864685,3.258317708969116,0.7490758101145426,59.510000000000005,0.9998666200070134,2.848300000000001,0.9948990785551548,0.8197715348088249,0.5,0.17202946592124563,0.9525685882167004,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,ClC1=NNC=C(c2ccnc(NC3CCCC3)n2)C1,0.5299999713897705,0.5699999928474426,0.8917081356048584,3.2539939880371094,0.7495562235514323,62.2,0.99731472293485,2.717600000000001,0.9824339451592888,0.7868354985812737,0.5299999713897705,0.1861587114560362,0.9272196188526012,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CN(C2=C(c3ccnc(Nc4ccccc4)n3)SCC2)COC1,0.550000011920929,0.8199999928474426,0.9142481684684753,3.2535154819488525,0.7496093908945719,50.28,0.9488657073759718,3.829100000000002,0.8583382135417287,0.8068435808415199,0.550000011920929,0.13151374429898502,0.9586922099879,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,FC1C=CN=C1c1ccnc(Nc2ccccc2)n1,0.5,0.8799999952316284,0.9158124327659607,3.2494070529937744,0.7500658830006918,50.17,0.9477327533469039,2.8747000000000007,0.9965171702817828,0.8316880391044945,0.5,0.1666958850492016,0.9650184505995744,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CC1=C(C2=CCC(=O)C=C2)CC=C1c1ccnc(NC2CCCCC2)n1,0.5,0.5099999904632568,0.851410984992981,3.2351646423339844,0.7516483730740018,54.88,0.9855419800738192,4.780200000000003,0.49448071879203687,0.6821803412326827,0.49448071879203687,0.19302849545378523,0.8112217073249152,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CC(c2ccnc(Nc3ccccc3)n2)=C2CCCCC2N1,0.5199999809265137,0.8399999737739563,0.8984957933425903,3.2272121906280518,0.7525319788191054,49.84,0.9442658274944175,4.033300000000002,0.7887793601123481,0.7906788190781552,0.5199999809265137,0.13685263862001154,0.9329935494941081,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CN(c2ccc(Nc3nccc(C4=CCOCC4)n3)cc2)COC1,0.6600000262260437,0.75,0.9240443706512451,3.2223477363586426,0.7530724737379286,59.510000000000005,0.9998666200070134,3.3317000000000014,0.9758465038766458,0.8438049990831461,0.6600000262260437,0.12848124527122617,1.0289568824238366,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,Cn1sc(=O)n(CC2=CC=C(Nc3nccc(-c4ccccc4)n3)C2)c1=O,0.5299999713897705,0.6800000071525574,0.7361068725585938,3.2122573852539062,0.7541936238606771,81.81,0.767770437516909,2.3916000000000004,0.9210364379921991,0.7315178917451178,0.5299999713897705,0.1162112578279047,0.8788967573792584,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CC1=C(c2ccnc(NC3CCN(C)CC3)n2)SCC=N1,0.5,0.5299999713897705,0.929521381855011,3.196349620819092,0.7559611532423232,53.410000000000004,0.9761620005017665,2.4888000000000003,0.9435817051402712,0.7725377020215237,0.5,0.19525151021230835,0.9030125510002929,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,ClC1C=CN=C1c1ccnc(Nc2ccccc2)n1,0.5,0.8700000047683716,0.8719330430030823,3.1934561729431152,0.756282647450765,50.17,0.9477327533469039,3.144000000000001,0.9954026005433149,0.8235585081854063,0.5,0.1626154426452101,0.9572969639208854,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CC1=C(c2ccnc(Nc3nccc(-c4cc(C)cc(N5CCOCC5)c4)n3)n2)SCC=N1,0.5099999904632568,0.6600000262260437,0.6032319068908691,3.190063238143921,0.756659640206231,88.42,0.6384446963471545,4.328320000000003,0.6756389458320048,0.6406625343275933,0.5099999904632568,0.07475659120503737,0.7861868723460667,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,NC1C=CN=C1c1ccnc(Nc2ccccc2)n1,0.5400000214576721,0.8700000047683716,0.8726372718811035,3.186152219772339,0.7570941978030734,76.19,0.8644860974849361,1.8639,0.7506412933540915,0.7758098144582081,0.5400000214576721,0.11740302300863023,0.9260695185946467,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,OC1CCC(c2[nH]ncc2-c2ccnc(NC3=CC=CC3)n2)CC1,0.550000011920929,0.699999988079071,0.8044464588165283,3.182826042175293,0.7574637730916342,86.72,0.6725737180768873,3.140900000000002,0.995597981854284,0.7466803219732223,0.550000011920929,0.13648394133881994,0.898031931415619,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CCC(Nc2[nH]ncc2-c2ccnc(NC3CCCC3)n2)=C1,0.6700000166893005,0.6800000071525574,0.7879262566566467,3.171414613723755,0.7587317095862495,78.52,0.8265042478067038,3.4769000000000014,0.9507151365906572,0.7789795624136859,0.6700000166893005,0.09479382520992784,0.9705001848994833,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CCCC(Nc2ccc(-c3ccnc(NC4=COCC4)n3)cc2)=C1,0.699999988079071,0.6499999761581421,0.8461878299713135,3.1688129901885986,0.7590207788679335,59.07000000000001,0.9995196154216376,4.463000000000003,0.6214886965565095,0.7627028141757678,0.6214886965565095,0.12886718208517503,0.9362627049342032,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,OC1CCC(Nc2nccc(C3=NCN=C3)n2)CC1,0.6299999952316284,0.6200000047683716,0.8487329483032227,3.1677968502044678,0.7591336833106147,82.76,0.7499208918445291,1.023,0.419554434946385,0.6712236597341253,0.419554434946385,0.1372902194645173,0.7833609682715891,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CC1C=CN=C1c1ccnc(Nc2ccc(F)cc2)n1,0.5099999904632568,0.8500000238418579,0.9286659955978394,3.1631813049316406,0.7596465216742622,50.17,0.9477327533469039,3.3118000000000007,0.9786274252300152,0.8291121183590225,0.5099999904632568,0.15991194472549045,0.9661209210254506,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,NC1C=CC=C1Nc1nccc(-c2ccccc2)n1,0.5199999809265137,0.6399999856948853,0.8772246837615967,3.157087802886963,0.7603235774570041,63.83,0.9918837273606176,2.3365,0.9068036013269652,0.7827059260879304,0.5199999809265137,0.1622599507344285,0.9224799252924417,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,FC1=NOC(CN2CCCCC2)=C(c2ccnc(NC3CCCCC3)n2)C1,0.5899999737739563,0.5099999904632568,0.8410664200782776,3.152528762817383,0.7608301374647353,62.64,0.996135486526273,4.121500000000003,0.7561596693777101,0.7423652796140349,0.5099999904632568,0.159102316783617,0.8794550450746502,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,Cc1ncn(-c2ccc(Nc3nccc(C4=CC=C(F)CS4)n3)cc2)n1,0.8100000023841858,0.7799999713897705,0.751226007938385,3.143087863922119,0.7618791262308756,68.52000000000001,0.9604743518934165,4.050420000000003,0.7825511125095742,0.8076884287243679,0.751226007938385,0.07075063507772586,1.0259811675981108,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,ClC1=NOC(CN2CCCCC2)=C(c2ccnc(NC3CCCCC3)n2)C1,0.550000011920929,0.5099999904632568,0.8085600137710571,3.1148722171783447,0.765014198091295,62.64,0.996135486526273,4.390800000000003,0.6506067304546533,0.713386071871244,0.5099999904632568,0.16516301166160524,0.8498697678440605,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=NC(C2=CCCCC2)=C(c2ccnc(NC3CCCC3)n2)C1,0.5400000214576721,0.5600000023841858,0.8895418643951416,3.110337018966675,0.7655181090037028,50.17,0.9477327533469039,4.517100000000003,0.5996165088663803,0.7170682099089977,0.5400000214576721,0.16078927880293434,0.8629892884660059,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,Cc1ncn(C2=C(Nc3nc(Nc4ccc(F)cc4)ncc3C)C=CC2)n1,0.5,0.699999988079071,0.717485785484314,3.104468584060669,0.7661701573265923,80.55,0.7908772551952111,3.8082400000000014,0.8648777700326641,0.7232351593529754,0.5,0.113202150448096,0.8619149443081658,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,COC1=CC(c2ccnc(Nc3ccc(-n4cnc(C)n4)cc3)n2)=C(OC)C1,0.8600000143051147,0.8199999928474426,0.7053378224372864,3.098320484161377,0.7668532795376248,86.98,0.6673769687188206,3.4008200000000013,0.9649282982304666,0.7974160626794594,0.6673769687188206,0.09900318678354485,0.9877288346167511,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,OC1CCC(Nc2nccc(C3=NN=CC3)n2)CC1,0.6700000166893005,0.5799999833106995,0.8584703803062439,3.097379207611084,0.7669578658209907,82.76,0.7499208918445291,1.3705999999999998,0.554334138725796,0.6966138794495933,0.554334138725796,0.10687848547361277,0.8522262725199709,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=C(Nc2nccc(-c3cnc4ccccn34)n2)CC(N2CCOCC2)=C1,0.5,0.6200000047683716,0.7716108560562134,3.0967259407043457,0.7670304510328505,67.58,0.968583850464188,2.7069,0.9810904910412116,0.7680526088938059,0.5,0.17290816383669813,0.9007617925101361,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,Cc1ncn(-c2ccc(Nc3nccc(C4=CC=CCS4)n3)cc2)n1,0.8700000047683716,0.8299999833106995,0.7742659449577332,3.0894227027893066,0.7678419219122993,68.52000000000001,0.9604743518934165,3.7532200000000024,0.8815481662308161,0.8473550621788893,0.7678419219122993,0.06638711319331159,1.0710689274332479,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CCC(C2=CC=C(c3ccnc(NC4CCCC4)n3)C2)=C1,0.5400000214576721,0.5899999737739563,0.8913613557815552,3.08705472946167,0.7681050300598145,37.81,0.7606717238535999,4.430900000000003,0.6344515194569034,0.6974316040639169,0.5400000214576721,0.12034363571321373,0.8473972469298972,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CN=C(Nc2nccc(-c3cnc4ccccn34)n2)C1,0.5199999809265137,0.6399999856948853,0.7806145548820496,3.0863821506500244,0.7681797610388862,67.47,0.9694750883383606,2.5191,0.949906063312743,0.771362572365573,0.5199999809265137,0.15898708446750745,0.9114638581967763,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=C2CCCCC2=C(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)C1,0.7200000286102295,0.6299999952316284,0.8271098732948303,3.084341287612915,0.768406523598565,66.49000000000001,0.9768716026796972,4.8789000000000025,0.45634627620797713,0.7297890499371547,0.45634627620797713,0.1616771838587852,0.8505252144136694,True,0,Retro* unsolved; no predefined alert matched
