generated_scaffold,nearest_reference_scaffold,max_tanimoto_similarity
c1cc(-c2ccc(N3CCOCC3)cc2)nc(NC2CCOC2)n1,c1ccc(Nc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0.33707865168539325
c1cc(-c2cn[nH]c2)nc(NC2CCCNC2)n1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.3372093023255814
c1ccc(N(CC2CC2)c2cncc(-c3ccnc(NC4CC4)n3)c2)nc1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.33980582524271846
c1cc(-c2cnc(Nc3ccc(N4CCCCC4)cc3)nc2)nc(NC2CC2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.34
O=c1ccnc(Nc2cccc(-c3ccnc(NC4CC4)n3)c2)[nH]1,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.34
O=C(NC1CCC(Nc2nccc(-c3ccccn3)n2)CC1)c1ccccc1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.3402061855670103
c1cc(-c2cnc3c(c2)CNCC3)nc(NC2CC2)n1,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.3402061855670103
O=C1CCc2cc(-c3ccnc(NC4CC4)n3)cnc2C1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3409090909090909
O=C1NC(Nc2nccc(-c3ccnc(NC4CC4)n3)n2)c2ccccc21,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3409090909090909
O=C1Cc2ncc(-c3ccnc(NC4CC4)n3)cc2CN1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3409090909090909
O=C1CCC(Nc2nccc(-c3ccnc(NC4CC4)n3)n2)=N1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.34146341463414637
c1cc(-c2ccnc(NC3CCC(CC4CC4)CC3)n2)ncn1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.34146341463414637
O=C1CCC(Nc2nccc(-c3cnn(CC4CC4)c3)n2)=N1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.3434343434343434
O=c1nc(-c2ccnc(Nc3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc[nH]1,c1cc(-c2cncs2)nc(Nc2ccc(N3CCNCC3)cc2)n1,0.3434343434343434
O=C(c1ccc(Nc2nccc(-c3c[nH]cn3)n2)cc1)N1CCCC1,c1cc(-c2cc[nH]n2)nc(Nc2ccc(-n3cncn3)cc2)n1,0.34408602150537637
c1ccc(Nc2cc(-c3cnc[nH]3)ccn2)cc1,c1ccc(Nc2ccncn2)cc1,0.3442622950819672
c1cnc(-n2cncc2-c2ccnc(NC3CC3)n2)nn1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3448275862068966
O=C1NC(=O)c2nc(-c3ccnc(NC4CC4)n3)cnc21,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.34523809523809523
c1cc(Nc2nccc(-c3ccnc(NC4CC4)n3)n2)ncn1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.345679012345679
O=S1CCC(Nc2nccc(-c3cn(C4CCOCC4)c4ncccc34)n2)CC1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.34615384615384615
